prompt_processed,A_processed,B_processed,C_processed,D_processed,E_processed,answer
overhead cost assigned product based,proportion product use cost driver,predetermined overhead rate single cost driver,price product,machine hour per product,price product,A
financial statement would merchandise inventory account appear,balance sheet,income statement,balance sheet income statement,neither balance sheet income statement,income statement,A
deviance violation norm result person labeled deviant,secondary,negative,primary,primary may may,primary may may,C
gentrification affect city,become crowded,less affluent resident pushed less desirable area,traffic issue including pollution become worse,,become crowded,B
useful method asexual reproduction propagating hardtoroot plant,grafting,layering,cutting,budding,budding,A
infection also referred valley fever,histoplasmosis,coccidioidomycosis,blastomycosis,aspergillosis,blastomycosis,B
first new deal agency hire woman openly,nra,wpa,aaa,tva,tva,B
learning best defined relatively permanent change behavior,innate,occurs result experience,found human,occurs observing others,found human,B
following name cycle resulting conversion twocarbon acetyl one atp two co2 one fadh2 three nadh molecule,krebs cycle,tricarboxylic acid cycle,calvin cycle,citric acid cycle,citric acid cycle,C
environment likely encounter hyperthermophile,hot tub,warm ocean water florida,hydrothermal vent bottom ocean,human body,human body,C
element regarded essential following criterion must met except one,element perform function,element directly involved plant nutrition,element inorganic,plant complete lifecycle without element,element perform function,C
following type discrimination would subject rational basis test,law treat men differently woman,action state governor treat asian american differently citizen,law treat white differently citizen,law treat 10yearolds differently 28yearolds,action state governor treat asian american differently citizen,D
venoconstriction increase following,blood pressure within vein,blood flow within vein,return blood heart,,blood pressure within vein,D
tend protechnology view technology symbol coldness modern life,luddite technophile,technophile luddite,cyberfeminists technophile,liberal feminist conflict theorist,cyberfeminists technophile,B
term sociologist tend define family,given society sanction relationship people connected blood marriage adoption,connection bloodline,status role exist family structure,closely member adhere social norm,closely member adhere social norm,A
cause wart,human papillomavirus,herpes simplex virus,adenovirus,parvovirus b19,adenovirus,A
ability make leg move walk across room controlled nervous system,autonomic,somatic,sympathetic,parasympathetic,parasympathetic,B
endocrine gland associated kidney,thyroid gland,pituitary gland,adrenal gland,gonad,gonad,C
following plant structure defense herbivory,thorn,spine,nectar,alkaloid,spine,C
following question illegal ask job interview united state,university attend,state born,commercial driver license,salary would expect position,university attend,B
appoints leader run administrative agency,president,congress,judge,none correct,congress,A
adenosine triphosphate atp important molecule,result catabolism,release energy uncontrolled burst,store energy use body cell,,,C
following one right bill right guarantee,right freedom speech,right education,right bear arm,right trial jury,right trial jury,B
researcher interested factor make employee best suited given job would likely identify type psychologist,personality,clinical,social,io,social,D
type cell produce mucus mucous membrane,goblet cell,macrophage,phagocyte,ciliated epithelial cell,ciliated epithelial cell,A
transaction requires adjusting entry debit unearned revenue,revenue earned yet collected,revenue collected yet earned,revenue earned collected later collected,revenue collected earned later earned,revenue collected yet earned,D
type group leadership communication pattern flow top,authoritarian,democratic,laissezfaire,expressive,laissezfaire,A
following cause british national debt 1763,drought great britain,french indian war,continued british military presence american colony,b c,french indian war,D
budget evaluates result operation actual level activity,capital budget,cash budget,flexible budget,static budget,cash budget,C
intended positive aspect bureaucracy,increased productivity,increased efficiency,equal treatment,,increased efficiency,D
following individual credited definitively refuting theory spontaneous generation using broth swanneck flask,aristotle,jan baptista van helmont,john needham,louis pasteur,aristotle,D
